time_s,contact_force_N,centre_deflection_m,zeta_m,max_penetration_m,energy_J,energy_drift
1.750450759852322413e-04,1.722739657261186608e+01,2.140253185274957324e-04,2.157023557129671273e-04,1.677037185471394899e-06,6.228073985434416995e-03,1.187162882054327786e-04
1.800463638705245895e-04,1.636041108326146087e+01,2.174832602202542034e-04,2.191839019296128285e-04,1.700641709358625140e-06,6.227401786223893745e-03,1.187162882054327786e-04
1.850476517558169377e-04,1.666917953655294227e+01,2.209311874839939901e-04,2.225604937200255666e-04,1.629306236031576515e-06,6.227599436247734446e-03,1.187162882054327786e-04
1.900489396411092860e-04,1.600546029409237292e+01,2.241806169406331949e-04,2.258352212463526952e-04,1.654604305719500337e-06,6.227325776589703703e-03,1.187162882054327786e-04
1.950502275264016342e-04,1.529756740520349112e+01,2.274046379911103335e-04,2.290111628032221228e-04,1.606524812111789291e-06,6.227449246157433331e-03,1.187162882054327786e-04
2.000515154116939824e-04,1.467314481810279680e+01,2.304805911058370503e-04,2.320909148135975235e-04,1.610323707760473151e-06,6.227812235892876518e-03,1.187162882054327786e-04
2.050528032969863306e-04,1.491289786380992055e+01,2.335127722066325236e-04,2.350766253350123659e-04,1.563853128379842378e-06,6.227610124343254186e-03,1.187162882054327786e-04
2.100540911822786788e-04,1.409407753416703812e+01,2.363807877236481206e-04,2.379705085185499685e-04,1.589720794901847882e-06,6.227368300825601895e-03,1.187162882054327786e-04
2.150553790675710270e-04,1.379325123551945254e+01,2.393078237333166284e-04,2.407748602261830062e-04,1.467036492866377823e-06,6.227905765056808429e-03,1.187162882054327786e-04
2.200566669528633752e-04,1.364410027946489024e+01,2.419252002504601335e-04,2.434919906961390066e-04,1.566790445678873126e-06,6.227560884829615000e-03,1.187162882054327786e-04
2.250579548381557505e-04,1.316888193479152491e+01,2.446927073336451278e-04,2.461242503385654328e-04,1.431543004920305014e-06,6.227478020574848949e-03,1.187162882054327786e-04
2.300592427234480987e-04,1.247320235071981998e+01,2.472091221039276880e-04,2.486740071810495897e-04,1.464885077121901719e-06,6.227875253610677501e-03,1.187162882054327786e-04
2.350605306087404469e-04,1.271077544894869149e+01,2.497205507706818164e-04,2.511434956028865879e-04,1.422944832204771446e-06,6.227534647920903409e-03,1.187162882054327786e-04
2.400618184940327951e-04,1.193106133188268458e+01,2.521269098288753032e-04,2.535348851460549513e-04,1.407975317179648109e-06,6.227477313707337377e-03,1.187162882054327786e-04
2.450631063793251162e-04,1.140434050205034211e+01,2.545021774888056457e-04,2.558506798929156877e-04,1.348502404110041991e-06,6.227726182087612618e-03,1.187162882054327786e-04
2.500643942646174644e-04,1.160624201170034198e+01,2.567289660514281559e-04,2.580935023994853326e-04,1.364536348057176791e-06,6.227562136792979576e-03,1.187162882054327786e-04
2.550656821499098126e-04,1.106471324716595817e+01,2.589108053637996835e-04,2.602650174567322158e-04,1.354212092932532367e-06,6.227340579606766707e-03,1.187162882054327786e-04
2.600669700352021608e-04,1.070024172653145378e+01,2.610980827121679791e-04,2.623664991467316936e-04,1.268416434563714515e-06,6.227833140368996268e-03,1.187162882054327786e-04
2.650682579204945090e-04,1.050046707764861331e+01,2.630588969570201471e-04,2.644000675550544082e-04,1.341170598034261037e-06,6.227448217115050776e-03,1.187162882054327786e-04
2.700695458057869114e-04,9.861354713233527747e+00,2.651703357572088846e-04,2.663685489677567863e-04,1.198213210547901652e-06,6.227526456724404545e-03,1.187162882054327786e-04
2.750708336910792596e-04,9.165811245164778853e+00,2.670280574875347982e-04,2.682750867611787557e-04,1.247029273643957513e-06,6.227738330631080697e-03,1.187162882054327786e-04
2.800721215763716078e-04,9.693111379561699437e+00,2.689295085621160302e-04,2.701219721259692525e-04,1.192463563853222303e-06,6.227574995217415900e-03,1.187162882054327786e-04
2.850734094616639560e-04,9.146689709637703558e+00,2.706685697225613414e-04,2.719101806878275918e-04,1.241610965266250373e-06,6.227500301714359622e-03,1.187162882054327786e-04
2.900746973469563042e-04,9.195770857797903375e+00,2.724777360463258584e-04,2.736399541233097655e-04,1.162218076983907115e-06,6.227776808613880687e-03,1.187162882054327786e-04
2.950759852322486524e-04,9.278640098598792463e+00,2.740729761667193851e-04,2.753115687662696306e-04,1.238592599550245553e-06,6.227586663453623869e-03,1.187162882054327786e-04
3.000772731175410006e-04,8.605527446854594587e+00,2.757798124432535997e-04,2.769262969914082842e-04,1.146484548154684535e-06,6.227456639099038585e-03,1.187162882054327786e-04
3.050785610028333488e-04,7.856692552767066573e+00,2.773819572261462135e-04,2.784867391027777764e-04,1.104781876631562906e-06,6.227839733015041665e-03,1.187162882054327786e-04
3.100798488881256970e-04,7.681995221840464794e+00,2.788805978011500665e-04,2.799967364239441445e-04,1.116138622794078054e-06,6.227469188892117459e-03,1.187162882054327786e-04
3.150811367734180453e-04,7.054447291176964896e+00,2.804351725076437976e-04,2.814598471859927078e-04,1.024674678348910187e-06,6.227627634391567392e-03,1.187162882054327786e-04
3.200824246587103935e-04,6.540165169901785092e+00,2.818275769854083554e-04,2.828786008232124418e-04,1.051023837804086411e-06,6.227668775081392737e-03,1.187162882054327786e-04
3.250837125440027417e-04,6.905964740943559832e+00,2.832519274510027587e-04,2.842549319195445778e-04,1.003004468541819107e-06,6.227635186631459881e-03,1.187162882054327786e-04
3.300850004292950899e-04,6.416062205445191680e+00,2.845337017675579182e-04,2.855900653995422896e-04,1.056363631984371353e-06,6.227474162742582635e-03,1.187162882054327786e-04
3.350862883145874381e-04,6.801613852859960119e+00,2.859022685053788345e-04,2.868837196856386502e-04,9.814511802598156927e-07,6.227786633595043531e-03,1.187162882054327786e-04
3.400875761998797863e-04,7.393343691870623680e+00,2.870040209439251883e-04,2.881343975240321952e-04,1.130376580107006913e-06,6.227513608782495394e-03,1.187162882054327786e-04
3.450888640851721345e-04,7.479909199619623195e+00,2.883016616548408646e-04,2.893397772162416715e-04,1.038115561400806963e-06,6.227524841819668568e-03,1.187162882054327786e-04
3.500901519704644827e-04,7.215008914996308143e+00,2.894037780634933885e-04,2.904983560175118944e-04,1.094577954018505911e-06,6.227771268510865453e-03,1.187162882054327786e-04
3.550914398557568309e-04,7.308680353807751828e+00,2.905564957612345018e-04,2.916105888729378067e-04,1.054093111703304896e-06,6.227468937826561961e-03,1.187162882054327786e-04
3.600927277410491791e-04,6.146302473394152699e+00,2.916824673771322525e-04,2.926791458592011897e-04,9.966784820689372597e-07,6.227568879018940268e-03,1.187162882054327786e-04
3.650940156263415273e-04,5.386217342002895592e+00,2.927699126514943240e-04,2.937084057528359534e-04,9.384931013416294120e-07,6.227566599650156270e-03,1.187162882054327786e-04
3.700953035116338755e-04,5.116598466444556514e+00,2.937974021759012983e-04,2.947031115355447980e-04,9.057093596434996445e-07,6.227554260881972871e-03,1.187162882054327786e-04
3.750965913969262237e-04,4.131805137794309246e+00,2.947907694170202918e-04,2.956675705719894495e-04,8.768011549691577013e-07,6.227347040877369462e-03,1.187162882054327786e-04
3.800978792822185719e-04,3.918265193992120032e+00,2.958126486319934459e-04,2.966049425280842342e-04,7.922938960907882806e-07,6.227666614764363305e-03,1.187162882054327786e-04
3.850991671675109201e-04,3.937149190947593080e+00,2.966293561075252177e-04,2.975174098047351405e-04,8.880536972099228009e-07,6.227356537989939787e-03,1.187162882054327786e-04
3.901004550528032683e-04,3.589283914000489961e+00,2.976475604943916269e-04,2.984063408173609076e-04,7.587803229692807912e-07,6.227535418965643617e-03,1.187162882054327786e-04
3.951017429380956165e-04,3.230425008561098821e+00,2.984380379546695090e-04,2.992728430681715389e-04,8.348051135020299190e-07,6.227546083562577467e-03,1.187162882054327786e-04
4.001030308233879647e-04,3.688965446139820692e+00,2.993406945070236583e-04,3.001178268198465026e-04,7.771323128228442741e-07,6.227481822279047792e-03,1.187162882054327786e-04
4.051043187086803129e-04,3.065873467629598448e+00,3.001291756717860363e-04,3.009420114366807104e-04,8.128357648946741079e-07,6.227491542579408415e-03,1.187162882054327786e-04
4.101056065939726611e-04,3.319222323001357111e+00,3.009853832756955025e-04,3.017455892268811730e-04,7.602059511856705011e-07,6.227554402897848493e-03,1.187162882054327786e-04
4.151068944792650093e-04,3.867950399804973127e+00,3.016727654005395601e-04,3.025279346395064401e-04,8.551692389668799459e-07,6.227534359416993411e-03,1.187162882054327786e-04
4.201081823645573575e-04,3.994069613460023760e+00,3.024553820896600182e-04,3.032873023696196972e-04,8.319202799596790189e-07,6.227424297169057224e-03,1.187162882054327786e-04
4.251094702498497057e-04,4.647086799000781809e+00,3.031457260897702844e-04,3.040208517983070797e-04,8.751257085367952424e-07,6.227739665215626871e-03,1.187162882054327786e-04
4.301107581351420539e-04,5.565591910360885741e+00,3.037485208145540333e-04,3.047248669922847462e-04,9.763461777307128574e-07,6.227392244230912401e-03,1.187162882054327786e-04
4.351120460204344021e-04,5.890388821288065735e+00,3.044590873962649551e-04,3.053953276099595862e-04,9.362402136946310766e-07,6.227627867370607966e-03,1.187162882054327786e-04
4.401133339057267503e-04,6.224299576258603750e+00,3.049930934062376449e-04,3.060284599629834639e-04,1.035366556745818956e-06,6.227646030484905275e-03,1.187162882054327786e-04
4.451146217910191528e-04,6.973783255160005190e+00,3.056165666581221545e-04,3.066214773281296358e-04,1.004910670007481271e-06,6.227613655528888882e-03,1.187162882054327786e-04
4.501159096763115010e-04,6.263592327155422801e+00,3.061273498765117195e-04,3.071730639535754487e-04,1.045714077063729201e-06,6.227557694193760519e-03,1.187162882054327786e-04
4.551171975616038492e-04,6.135672167768644769e+00,3.067462921105493928e-04,3.076838901033908434e-04,9.375979928414506295e-07,6.227823750412496417e-03,1.187162882054327786e-04
4.601184854468961974e-04,5.537000511261517488e+00,3.071583641062800409e-04,3.081566095636393329e-04,9.982454573592919669e-07,6.227599672155638769e-03,1.187162882054327786e-04
4.651197733321885456e-04,4.356027077457679475e+00,3.077714447693432947e-04,3.085957617897479234e-04,8.243170204046286996e-07,6.227662296461776263e-03,1.187162882054327786e-04
4.701210612174808938e-04,3.161671476006309156e+00,3.081996334141853008e-04,3.090073127973935415e-04,8.076793832082406963e-07,6.227838697654695596e-03,1.187162882054327786e-04
4.751223491027732420e-04,2.343310782252909341e+00,3.086795146426131562e-04,3.093983558804911543e-04,7.188412378779981265e-07,6.227713488852938337e-03,1.187162882054327786e-04
4.801236369880655902e-04,1.978759170204230644e+00,3.091678038042388298e-04,3.097748140660208844e-04,6.070102617820546421e-07,6.227711350235624714e-03,1.187162882054327786e-04
4.851249248733579384e-04,1.625089576916283862e+00,3.096408205013568226e-04,3.101393379886574269e-04,4.985174873006043526e-07,6.227701703930384886e-03,1.187162882054327786e-04
4.901262127586502324e-04,1.257030439473802330e+00,3.101085292488382425e-04,3.104941397807425623e-04,3.856105319043198407e-07,6.227693683831672135e-03,1.187162882054327786e-04
4.951275006439425806e-04,8.665508604941156712e-01,3.105756256490363769e-04,3.108414514617964552e-04,2.658258127600783387e-07,6.227684660601346886e-03,1.187162882054327786e-04
